TournamentId,GameId,TournamentName,StartDate,EndDate,Location,Teamplay,TotalUSDPrize,ErrorCode
66108,655,Lacoste1212 Run,2023-12-12,2023-12-21,Online,0,1314.79,
66138,409,SteelSeries Rival Cup: M80 vs Spacestation Gaming,2023-12-21,2023-12-21,Online,1,4000.00,
66139,409,The Rendez-Vous #13,2023-12-21,2023-12-21,Online,1,2100.00,
66140,409,Thursday Throwdown - Event 3,2023-12-21,2023-12-21,Online,1,400.63,
66107,179,Coma Cup,2023-10-28,2023-12-20,Online,1,2237.69,
66059,655,Maji's Christmas,2023-12-20,2023-12-20,Online,0,673.20,
66106,409,OXG Holiday Invitational,2023-12-19,2023-12-20,Online,1,10000.00,
66060,179,The Fastest Chaos,2023-10-30,2023-12-20,Online,0,825.00,
66058,179,Ultra Small Maps Showmatch #4: DauT vs TaToH,2023-12-20,2023-12-20,Online,0,450.00,
66054,646,Mandatory Cup #3,2023-12-13,2023-12-19,Europe,1,16400.85,
66056,179,Road to Hidden Cup Italia - Autunno,2023-11-12,2023-12-19,Italy,0,152.90,
66153,547,"Titled Tuesday December 19, 2023 Early Tournament",2023-12-19,2023-12-19,Online,0,2500.00,
66154,547,"Titled Tuesday December 19, 2023 Late Tournament",2023-12-19,2023-12-19,Online,0,2500.00,
66036,179,Delicious Christmas Co-op: GL vs. Suomi,2023-12-18,2023-12-18,Online,1,190.00,
66001,746,Bak Cup #3,2023-12-16,2023-12-17,South Korea,0,154.00,
66010,409,Bandits on Wheels: Fall Showdown #4,2023-12-16,2023-12-17,Online,1,7000.00,
66045,554,Battlegrounds Mobile India Pro Series 2023,2023-12-15,2023-12-17,"Ahmedabad, India",1,120421.02,
65978,839,BLAST Premier: World Final 2023,2023-12-13,2023-12-17,"Abu Dhabi, United Arab Emirates",1,1000000.00,
66049,639,Call of Duty Mobile World Championship 2023,2023-12-15,2023-12-17,"Atlanta, USA",1,1000000.00,
66119,534,Chapter 5 Season 1: Duos Cash Cup - Week 2: EU,2023-12-17,2023-12-17,Online,1,29950.00,
65984,646,Convergence 2023,2023-12-14,2023-12-17,"Bangalore, India",1,50000.00,
65995,179,Copa 3k Libertadores,2023-11-27,2023-12-17,Online,0,2840.00,
65979,818,CrossFire Mobile League Season 14,2023-08-26,2023-12-17,"Wuhan, China",1,338958.98,
66117,534,Dreamhack Atlanta 2023 (Fortnite),2023-12-15,2023-12-17,"Atlanta, Georgia, USA",1,25000.00,
66028,733,Dreamhack Atlanta 2023 (GGST),2023-12-17,2023-12-17,"Atlanta, Georgia, USA",0,1500.00,
66030,854,Dreamhack Atlanta 2023 (MK1),2023-12-16,2023-12-17,"Atlanta, Georgia, USA",0,3000.00,
66061,409,DreamHack Atlanta 2023 (RL),2023-12-17,2023-12-17,"Atlanta, United States",1,5000.00,
65999,837,Dreamhack Atlanta 2023 (SF6),2023-12-16,2023-12-17,"Atlanta, Georgia, USA",0,5000.00,
66031,204,Dreamhack Atlanta 2023 (SSBMelee),2023-12-15,2023-12-17,"Atlanta, Georgia, USA",0,2000.00,
66032,558,Dreamhack Atlanta 2023 (SSBUltimate),2023-12-15,2023-12-17,"Atlanta, Georgia, USA",0,4000.00,
66034,839,DreamHack Hannover 2023 (CS2 BYOC),2023-12-15,2023-12-17,"Hannover, Germany",1,3273.60,
65989,839,Dust2.in Masters #5,2023-12-17,2023-12-17,India,1,1500.00,
65992,746,EGC Finals 2023,2023-12-02,2023-12-17,Online,0,25000.00,
66137,839,ESEA EU CS2 Intermediate Season 47,2023-10-23,2023-12-17,Online,1,6000.00,
66121,839,ESEA EU CS2 Main Season 47,2023-10-23,2023-12-17,Online,1,10000.00,
66141,839,ESEA EU CS2 Open Season 47,2023-10-23,2023-12-17,Online,1,3000.00,
66143,839,ESEA NA CS2 Intermediate Season 47,2023-10-23,2023-12-17,Online,1,6000.00,
66142,839,ESEA NA CS2 Main Season 47,2023-10-23,2023-12-17,Online,1,10000.00,
65997,839,ESL Challenger at DreamHack Atlanta 2023,2023-12-15,2023-12-17,"Atlanta, Georgia, USA",1,100000.00,
65952,231,ESL One Kuala Lumpur Major 2023,2023-12-11,2023-12-17,Kuala Lumpur,1,1000000.00,
65998,151,ESL SC2 Masters 2023 Winter: Finals,2023-12-15,2023-12-17,"Atlanta, USA",0,75000.00,
65990,839,Esportal LuckyCasino Cup,2023-12-17,2023-12-17,"Stockholm, Sweden",1,9813.00,
66125,792,Flash Ops Holiday Showdown - EMEA,2023-12-14,2023-12-17,Online,1,50000.00,
66126,792,Flash Ops Holiday Showdown - NA,2023-12-14,2023-12-17,Online,1,50000.00,
65985,780,J Cup 2023 - Trios Grand Finals,2023-11-29,2023-12-17,"Shanghai/Chengdu, China",1,1170000.00,
66148,655,Monthly RPG Cup x Frontiers: Chromatic Enigma,2023-12-17,2023-12-17,Online,0,140.82,
65994,179,Nili's Apartment Cup V: Qualifier 2,2023-12-11,2023-12-17,Online,0,2505.00,
66155,164,REIGNITE Open Tournament 2023,2023-12-14,2023-12-17,Online,1,7167.50,
66062,409,RSC EU - 13,2023-12-14,2023-12-17,Online,1,887.67,
66009,655,SaPure's Matchmaking Invitational,2023-12-17,2023-12-17,Online,0,50.00,
65757,540,Spartan's Bo3 Challenge Showmatches: Nov - Dec 2023,2023-11-28,2023-12-17,Online,0,465.00,
65996,646,The Cozy Clash,2023-12-15,2023-12-17,"Frisco, USA",1,40000.00,
65980,655,Volvic Charity Race 2,2023-12-17,2023-12-17,Online,0,1083.18,
66016,638,W3Champions Finals - Season 16,2023-12-09,2023-12-17,Online,0,2536.70,
66018,638,W3Champions Finals - Season 16 (2v2),2023-12-09,2023-12-17,Online,1,519.56,
66017,638,W3Champions Finals - Season 16 (FFA),2023-12-09,2023-12-17,Online,0,222.64,
66029,732,Dreamhack Atlanta 2023 (GBVSR),2023-12-16,2023-12-16,"Atlanta, Georgia, USA",0,1500.00,
66035,151,DreamHack Atlanta 2023 (SC2 BYOC),2023-12-16,2023-12-16,"Atlanta, USA",0,2500.00,
66000,406,Dreamhack Atlanta 2023 (T7),2023-12-16,2023-12-16,"Atlanta, Georgia, USA",0,2000.00,
65977,839,ESEA Cash Cup: South America - Autumn 2023 #13,2023-12-16,2023-12-16,Online,1,500.00,
65949,839,ESL Meisterschaft: Autumn 2023 (CS2),2023-08-21,2023-12-16,"Hanover, Germany",1,32286.22,
65986,780,J Cup 2023 - Solo Grand Finals,2023-11-29,2023-12-16,"Shanghai/Chengdu, China",0,279200.00,
65938,839,Monsters Reloaded 2023,2023-12-15,2023-12-16,"Istanbul, Turkey",1,21000.00,
65943,655,NCSA DuoCup,2023-12-16,2023-12-16,Online,1,800.00,
66033,839,RaiGamers 2023,2023-12-16,2023-12-16,"Pristina, Bosnia",1,4363.01,
65993,179,Rusaoc Cup 122,2023-12-16,2023-12-16,Online,0,111.42,
65934,409,Sinfrenos League - Season 11: Road To Gamergy - Finals,2023-12-16,2023-12-16,"Madrid, Spain",1,1636.80,
65944,655,Trackmania Skill Cup 2,2023-12-16,2023-12-16,France,0,406.18,
65924,179,Fox Invitational Buenos Aires,2023-11-01,2023-12-15,Online,1,140.00,
65931,655,TMNL Campaign,2023-11-19,2023-12-15,Online,0,920.67,
65922,409,Amazon University Esports Italy - Winter 2023: Playoffs,2023-12-14,2023-12-14,Online,1,1099.50,
65928,638,TeD Cup 19,2023-12-05,2023-12-14,Online,0,3666.78,
65920,409,The Rendez-Vous #12,2023-12-14,2023-12-14,Online,1,2100.00,
65912,646,Dubai Police Esports Tournament 2023,2023-12-09,2023-12-13,"Dubai, UAE",1,21783.52,
66120,839,ESEA EU CS2 Advanced Season 47,2023-10-22,2023-12-13,Online,1,20300.00,
66144,839,ESEA NA CS2 Advanced Season 47,2023-10-23,2023-12-13,Online,1,20300.00,
65908,409,Salt Mine 3 - Europe: Finals,2023-12-12,2023-12-13,Online,0,25000.00,
65911,409,Salt Mine 3 - North America: Finals,2023-12-12,2023-12-13,Online,0,25000.00,
65916,839,YaLLa Compass Fall 2023,2023-10-16,2023-12-13,Online,1,25000.00,
66111,534,Every Fortnite Win = $1000,2023-12-12,2023-12-12,online,0,1032.71,
65803,179,House of Pisces,2023-10-31,2023-12-12,Online,0,54.67,
66152,547,"Titled Tuesday December 12, 2023 Early Tournament",2023-12-12,2023-12-12,Online,0,2500.00,
66151,547,"Titled Tuesday December 12, 2023 Late Tournament",2023-12-12,2023-12-12,Online,0,2500.00,
65763,646,AfreecaTV VALORANT League 2023,2023-12-05,2023-12-10,"Seoul, South Korea",1,80000.00,
65903,839,BetBoom Dacha Dubai,2023-12-05,2023-12-10,Dubai,1,300000.00,
65910,646,Carry1st VALZA Cup,2023-12-09,2023-12-10,"Johannesburg, South Africa",1,8707.42,
65759,352,CrossFire Stars 2023,2023-11-29,2023-12-10,"Chengdu, China",1,1420000.00,
65917,534,DreamHack Valencia December 2023 (Fortnite),2023-12-09,2023-12-10,Valencia,0,3232.08,
65809,839,ESL Challenger League Season 46: APAC,2023-08-15,2023-12-10,Online,1,40000.00,
65800,839,ESL Challenger League Season 46: EU,2023-10-05,2023-12-10,Online,1,100000.00,
65902,839,ESL Challenger League Season 46: NA,2023-08-15,2023-12-10,Online,1,99650.00,
65913,839,ESL Impact League Season 4,2023-12-08,2023-12-10,"Valencia, Spain",1,123000.00,
66127,792,Flash Ops Holiday Showdown - APAC,2023-12-08,2023-12-10,Online,1,50000.00,
65807,534,GFightInvitational 2023,2023-12-10,2023-12-10,online,1,32320.50,
65918,464,Iberian International DreamHack Valencia 2023,2023-12-09,2023-12-10,Valencia,0,26933.76,
65762,179,Nili's Apartment Cup V: Qualifier 1,2023-12-04,2023-12-10,Online,0,2505.00,
65774,409,NSE: Winter Championship 2023/24,2023-10-17,2023-12-10,Online,1,752.88,
65767,179,Outback Legends 2,2023-10-30,2023-12-10,Online,0,493.72,
65907,746,Pisces Cup,2023-11-18,2023-12-10,Online,1,159.10,
65799,554,PUBG Mobile Global Championship 2023,2023-11-02,2023-12-10,"Istanbul,Turkey/Kuala Lumpur, Malaysia",1,3000000.00,
