TeamId,TeamName,TotalUSDPrize,TotalTournaments,ErrorCode
102,Team Liquid,48079360.71,2669,
419,OG,38074532.44,172,
494,Team Spirit,29093827.40,229,
101,Evil Geniuses,28547445.56,1004,
163,Natus Vincere,21073980.99,725,
211,Team Secret,20263731.24,400,
118,Fnatic,20151606.97,1118,
185,Virtus.pro,19488768.25,644,
623,Paris Saint-Germain Esports,19186122.34,165,
240,FaZe Clan,18645436.96,700,
169,Vici Gaming,15696808.19,315,
227,LGD Gaming,15138558.03,208,
124,Invictus Gaming,15079205.31,625,
256,G2 Esports,15031984.78,694,
210,Newbee,14230154.91,236,
145,T1,13765834.53,488,
212,Cloud9,13686651.01,999,
430,eStar Gaming,12152413.68,113,
231,OpTic Gaming,11891624.30,409,
196,Team SoloMid,11822765.25,966,
466,Astralis,10418384.53,192,
25133,Tundra Esports,10390942.81,60,
507,Wings Gaming,9746079.72,28,
846,Nova eSports,9464692.91,129,
814,Gen.G Esports,9284525.76,189,
343,Royal Never Give Up,8632746.81,151,
251,Vitality,8426234.81,411,
25308,All Gamers,8356292.53,137,
162,Ninjas in Pyjamas,8172619.65,471,
112,SK Gaming,7737886.67,789,
216,Team Envy,7503894.43,439,
261,Alliance,7482628.33,421,
425,NRG Esports,7334878.22,587,
111,MOUZ,7249022.23,1262,
311,EDward Gaming,6983224.60,183,
25167,Wolves Esports,6264399.40,83,
192,Gambit Esports,5837251.97,273,
340,Qiao Gu Reapers,5766828.98,30,
132,MVP,5761080.77,488,
104,compLexity Gaming,5738067.93,796,
25315,Team Weibo,5527106.17,58,
144,Samsung,5338775.29,355,
207,Counter Logic Gaming,5315803.15,519,
571,Lazarus,5243227.77,300,
24806,Atlanta FaZe,5158000.00,40,
317,Luminosity Gaming,5083190.82,436,
787,100 Thieves,5073485.18,293,
383,Chaos Esports Club,4972689.35,92,
24680,Hero JiuJing,4831841.78,19,
117,Team Dignitas,4821322.35,721,
24782,Team BDS,4760481.74,156,
24687,Sentinels,4728005.68,168,
561,TnC Gaming,4689300.52,80,
25314,Gaimin Gladiators,4621330.00,74,
843,Four Angry Men,4481629.94,74,
225,EHOME,4315925.59,127,
760,San Francisco Shock,4265000.00,14,
24706,FunPlus Phoenix,4255318.64,87,
558,Heroic,4245720.89,148,
848,Spacestation Gaming,4150968.98,388,
385,ENCE eSports,4081074.90,312,
115,Team Empire,3985327.59,462,
963,FURIA Esports,3984786.63,288,
123,World Elite,3958614.56,323,
663,eUnited,3946306.69,259,
327,ThunderTalk Gaming,3911283.19,25,
25322,Dragon Ranger Gaming,3902979.31,38,
24703,Dplus,3873828.23,103,
24708,Talon Esports,3846974.19,130,
24780,EVOS Esports,3792512.92,148,
300,CDEC Gaming,3751262.87,56,
177,KT Rolster,3671686.51,248,
909,Team Aster,3603467.54,62,
25204,Team Falcons,3543015.08,189,
24684,Cooler Esport,3329304.54,44,
382,Splyce,3315092.51,438,
24784,Soniqs,3302848.11,103,
221,MIBR,3026272.13,211,
658,BIG,2992042.90,457,
916,JD Gaming,2986428.33,43,
24957,Toronto Ultra,2958250.02,56,
557,Rogue,2915096.76,257,
181,Jin Air Green Wings,2796169.32,447,
830,Ghost Gaming,2770168.13,272,
184,Flash Wolves,2768005.33,243,
769,Shanghai Dragons,2752750.00,16,
24711,Turnso Gaming,2739848.47,10,
24958,New York Subliners,2704548.09,111,
802,Top Esports,2667776.88,45,
25319,Qing Jiu Club,2648937.87,80,
505,J Team,2634100.16,65,
24969,Tribe Gaming,2624396.82,123,
25443,BaiSha Gaming,2595085.21,48,
24781,Rex Regum Qeon,2574562.42,135,
25099,Nigma Galaxy,2540272.93,165,
25090,Team SMG,2537589.66,74,
337,Tempo Storm,2453810.11,469,
25296,NewHappy,2436375.40,57,
427,Mineski,2435034.28,84,
676,Dallas Empire,2427250.00,18,
