TeamId,TeamName,TotalUSDPrize,TotalTournaments,gameid,numOfGame,ErrorCode
181,Jin Air Green Wings,2574710.20,414,151,1,
102,Team Liquid,1833071.88,1130,151,2,
385,ENCE eSports,1170663.92,137,151,3,
145,T1,1139756.90,93,151,4,
24742,Dragon Phoenix Gaming,1115525.96,571,151,5,
131,Incredible Miracle,1112019.35,138,151,6,
136,StarTale,1014299.52,152,151,7,
177,KT Rolster,869432.12,91,151,8,
101,Evil Geniuses,785050.90,252,151,9,
132,MVP,717672.07,331,151,10,
395,PSISTORM Gaming,685221.25,899,151,11,
111,MOUZ,674687.80,584,151,12,
103,Millenium,674671.19,346,151,13,
382,Splyce,672400.74,181,151,14,
124,Invictus Gaming,659948.68,281,151,15,
153,ROOT Gaming,650773.65,644,151,16,
134,Prime,647188.09,195,151,17,
24709,KaiZi Gaming,604364.26,454,151,18,
109,Team Acer,590746.43,470,151,19,
468,Afreeca Freecs,554019.74,448,151,20,
577,Ting,522964.06,167,151,21,
168,mYinsanity,459995.35,405,151,22,
133,Old Generations,456814.74,77,151,23,
546,Team expert,449141.08,234,151,24,
144,Samsung,442044.31,265,151,25,
141,CJ Entus,428406.59,81,151,26,
781,Team QLASH,417785.47,144,151,27,
25370,Alpha X,410772.42,307,151,28,
137,Team SCV Life,407622.63,186,151,29,
107,FXOpen e-Sports,396182.42,142,151,30,
135,SlayerS,383967.89,96,151,31,
25138,Onsyde Gaming,354636.79,119,151,32,
24922,Club NV,350295.50,207,151,33,
147,Woongjin Stars,342724.34,24,151,34,
184,Flash Wolves,281169.44,123,151,35,
25481,BASILISK,262818.80,41,151,36,
447,STX SouL,257868.69,25,151,37,
25140,Shopify Rebellion,257812.03,402,151,38,
347,CM Storm,253404.17,74,151,39,
930,Chivo SC,240023.64,66,151,40,
118,Fnatic,238772.71,147,151,41,
442,EURONICS Gaming,229864.05,183,151,42,
719,Team GO,202082.41,40,151,43,
210,Newbee,198251.54,55,151,44,
117,Team Dignitas,192871.23,218,151,45,
112,SK Gaming,184671.48,48,151,46,
621,Ballistix,175000.00,1,151,47,
934,Team Reciprocity,166770.55,23,151,48,
931,Triumphant Song Gaming,156176.39,112,151,49,
115,Team Empire,155609.97,276,151,50,
183,AZUBU,151662.65,38,151,51,
106,Quantic Gaming,137582.67,91,151,52,
312,Dead Pixels,132738.50,255,151,53,
220,Team Roccat,132070.52,66,151,54,
824,The Gosu Crew,131156.69,23,151,55,
164,Axiom eSports,129490.17,108,151,56,
926,Mkers,128852.50,59,151,57,
104,compLexity Gaming,123940.64,124,151,58,
180,Cascade,122036.05,220,151,59,
24776,Raise Your Edge Gaming,120830.08,138,151,60,
486,Zenith of Origin,119710.33,80,151,61,
25532,ABYDOS,118293.48,55,151,62,
409,True eSport,117357.81,190,151,63,
113,Team Alternate,115418.35,153,151,64,
25061,Good Game Gaming,109359.65,195,151,65,
24678,Brave Star Gaming,107281.74,121,151,66,
314,Karont3 e-Sports Club,105866.02,38,151,67,
130,New Star HoSeo,102207.62,49,151,68,
315,Invasion eSport,99897.23,125,151,69,
290,Ocean Gaming,98066.40,53,151,70,
138,ZeNEX,96064.74,46,151,71,
726,OSC Elite,93417.22,144,151,72,
653,Arma Team,92760.71,69,151,73,
216,Team Envy,87486.76,25,151,74,
25516,DKZ Gaming,85435.87,78,151,75,
261,Alliance,84650.09,20,151,76,
121,RoX,81250.13,121,151,77,
658,BIG,77242.50,119,151,78,
114,mortal Teamwork,75389.00,79,151,79,
740,AGO Esports,70624.70,72,151,80,
127,Gama Bears,68732.28,23,151,81,
583,Korean National Team,67835.94,8,151,82,
454,Alien Invasion,67402.31,132,151,83,
157,Wayi Spider,66428.61,37,151,84,
120,ESC Gaming,65684.72,202,151,85,
408,X-Team,65599.84,62,151,86,
405,Legacy eSports,62235.16,45,151,87,
434,AT Gaming,59654.91,59,151,88,
794,TitanEX1,58307.79,65,151,89,
384,NewRoSoft,53962.44,64,151,90,
129,For Our Utopia,52913.01,18,151,91,
348,XMG,52604.36,84,151,92,
266,Planetkey Dynamics,51720.23,58,151,93,
217,Team Property,50391.62,23,151,94,
174,Western Wolves,50152.29,31,151,95,
929,Pixel 1,48592.10,39,151,96,
234,Elevate,47660.38,50,151,97,
505,J Team,47608.71,20,151,98,
215,FlipSid3 Tactics,46303.49,81,151,99,
24992,Exeed Esports,42029.72,46,151,100,
