Ranking,RankText,TeamId,TeamName,CountryCode,PlayerId,NameFirst,NameLast,CurrentHandle,ShowLastNameFirst,PrizeUSD,TournamentId,ErrorCode,Error
1,1st,131,Incredible Miracle,kr,1002,Jong Hyun,Jung,Mvp,1,44835.01,1000,,
2,2nd,134,Prime,kr,1004,Jung Hoon,Lee,MarineKing,1,17934.00,1000,,
3,3rd-4th,102,Team Liquid,se,1016,Jonathan,Walsh,Jinro,0,4483.50,1000,,
3,3rd-4th,131,Incredible Miracle,kr,1001,Jae Duk,Lim,NesTea,1,4483.50,1000,,
4,5th-8th,129,For Our Utopia,kr,1043,Hyung Seop,Lee,Choya,1,2690.10,1000,,
4,5th-8th,101,Evil Geniuses,us,1060,Greg,Fields,IdrA,0,2690.10,1000,,
4,5th-8th,133,Old Generations,kr,1008,Yoon Yeol,Lee,NaDa,1,2690.10,1000,,
4,5th-8th,137,Team SCV Life,kr,1019,Ki Soo,Seo,TricksteR,1,2690.10,1000,,
5,9th-16th,135,SlayerS,kr,1047,Yo Hwan,Lim,BoxeR,1,1793.40,1000,,
5,9th-16th,137,Team SCV Life,kr,1015,Kyu Jong,Han,Clide,1,1793.40,1000,,
5,9th-16th,138,ZeNEX,kr,1018,Min Soo,Jung,Genius,1,1793.40,1000,,
5,9th-16th,0,,kr,1048,Yoo Jong,Kim,Hyperdub,1,1793.40,1000,,
5,9th-16th,133,Old Generations,kr,1000,Min Chul,Jang,MC,1,1793.40,1000,,
5,9th-16th,136,StarTale,kr,1045,Sung Je,Kim,RainBOw,1,1793.40,1000,,
5,9th-16th,129,For Our Utopia,kr,1040,Chan Min,Kim,TheBest,1,1793.40,1000,,
5,9th-16th,133,Old Generations,kr,1021,Jung Min,Choi,Zenio,1,1793.40,1000,,
6,17th-32nd,134,Prime,kr,1010,Jung-Hwan,Lee,anypro,1,1345.05,1000,,
6,17th-32nd,134,Prime,kr,1041,Hyung Joo,Lee,Check,1,1345.05,1000,,
6,17th-32nd,133,Old Generations,kr,1023,Sang Cheol,Kim,Ensnare,1,1345.05,1000,,
6,17th-32nd,137,Team SCV Life,kr,1037,Won Ki,Kim,FruitDealer,1,1345.05,1000,,
6,17th-32nd,134,Prime,kr,1012,Hong Wook,Ahn,HongUn,1,1345.05,1000,,
6,17th-32nd,133,Old Generations,kr,1013,Joon Hyuk,Song,InCa,1,1345.05,1000,,
6,17th-32nd,133,Old Generations,kr,1056,Man Hyuk,Cho,JookTo,1,1345.05,1000,,
6,17th-32nd,138,ZeNEX,kr,1035,Joon,Han,Kyrix,1,1345.05,1000,,
6,17th-32nd,129,For Our Utopia,kr,1025,Dong Nyoung,Lee,Leenock,1,1345.05,1000,,
6,17th-32nd,138,ZeNEX,kr,1066,Kyung Soo,Kim,LegalMind,1,1345.05,1000,,
6,17th-32nd,138,ZeNEX,kr,1083,Tae Hwan,Kim,LiveForever,1,1345.05,1000,,
6,17th-32nd,0,,kr,1054,Han Eol,Kwak,Maka,1,1345.05,1000,,
6,17th-32nd,134,Prime,kr,1003,Sung Hoon,Choi,Polt,1,1345.05,1000,,
6,17th-32nd,0,,kr,1046,Seo Yong,Park,Rain,1,1345.05,1000,,
6,17th-32nd,138,ZeNEX,kr,1011,Cho-Won,Kang,san,1,1345.05,1000,,
6,17th-32nd,133,Old Generations,kr,1044,Sang Ik,Park,TheWinD,1,1345.05,1000,,
